0:10:17|58,6
0:11:17|66,8
0:12:17|53,1
0:13:17|37,3
0:14:17|40,6
0:15:17|53,6
0:16:17|7,1
0:17:17|46,6
0:18:17|93,2
0:19:17|30,4
0:20:17|13,5
0:21:17|19,5
0:22:17|59,9
0:23:17|30,1
0:24:17|32,3
0:25:17|34,4
0:26:17|58
0:27:17|82,2
0:28:17|80,9
1:18:19|9,7
1:23:47|1,9
1:24:47|27
1:25:47|92,7
1:26:47|45,7
1:27:47|24,3
1:28:47|86,2
1:29:47|77,3
1:30:47|68,1
20:45:31|98
20:46:31|55,4
20:47:31|49,3
20:48:31|20,4
20:49:31|57,2
20:50:31|95,1
20:51:31|4,3
20:52:31|85,3
20:53:31|8,1
20:54:31|33,7
20:55:31|94,6
20:56:31|92,4
20:57:31|51,4
20:58:31|86,1
20:59:31|52,4
21:0:31|92,4
21:1:31|47,2
21:2:31|7
21:3:31|39,1
21:4:31|5,6
21:5:31|35,8
21:6:31|99,7
21:7:31|3,8
21:8:31|0,8
21:9:31|14,7
21:10:31|57,8
21:11:31|3,2
21:12:31|84,8
21:13:31|62,6
21:14:31|21,1
21:15:31|3,9
21:16:31|82,7
21:17:31|73
21:18:31|37,1
21:19:31|44,1
21:20:31|36,1
21:21:31|58
21:22:31|2,4
21:23:31|93,7
21:24:31|71,3
21:25:31|97,9
21:26:31|11,4
21:27:31|33,1
21:28:31|21,5
21:29:31|58,4
21:30:31|93,3
21:31:31|63,3
21:32:31|83,1
21:33:31|13,7
21:34:31|20,6
21:35:31|51,4
21:36:31|89,4
21:37:31|43,9
21:38:31|62,4
21:39:31|64,4
21:40:31|15,3
21:41:31|69,3
21:42:31|66,3
21:43:31|3,5
21:44:31|43,7
21:45:31|75,5
21:46:31|48,6
21:47:31|43,2
21:48:31|74,2
21:49:31|60,2
21:50:31|10,3
21:51:31|27,5
21:52:31|26,2
21:53:31|43
21:54:31|78,8
21:55:31|47,4
21:56:31|83,8
21:57:31|19,3
21:58:31|70,1
21:59:31|14,3
22:0:31|9,5
22:1:31|68,3
22:2:31|92,8
22:3:31|33
22:4:31|42,4
22:5:31|90,9
22:6:31|62,3
22:7:31|1,8
22:8:31|99,1
22:9:31|95,8
22:10:31|76,4
22:11:31|3,3
22:12:31|50,6
22:13:31|95,2
22:14:31|72,8
22:15:31|95,2
22:16:31|15,7
22:17:31|10,1
22:18:31|60,2
22:19:31|39,7
22:20:31|63,2
22:21:31|45
22:22:31|5,7
22:23:31|9
22:24:31|83,4
22:25:31|94,8
22:26:31|97,7
22:27:31|0,1
22:28:31|68,3
22:29:31|39,3
22:30:31|69,9
22:31:31|77,4
22:32:31|55,5
22:33:31|58,6
22:34:31|65,2
22:35:31|89,6
22:36:31|92,1
22:37:31|3,9
22:38:31|49,8
22:39:31|23
22:40:31|32,9
22:41:31|16,4
22:42:31|33,4
22:43:31|45,7
22:44:31|47,5
22:45:31|29,7
22:46:31|56,8
22:47:31|24,2
22:48:31|2,4
22:49:31|75,3
22:50:31|41,5
22:51:31|13,9
22:52:31|35,6
22:53:31|54,5
22:54:31|63,5
22:55:31|52,5
22:56:31|26
22:57:31|52,8
22:58:31|67
22:59:31|63
23:0:31|71,6
23:1:31|69,7
23:2:31|28
23:3:31|89,7
23:4:31|91
23:5:31|15,8
23:6:31|78,8
23:7:31|52
23:8:31|21,2
23:9:31|85,8
23:10:31|6,9
23:11:31|90,1
23:12:31|45,5
23:13:31|69,5
23:14:31|65,2
23:15:31|31,9
23:16:31|82
23:17:31|16,7
